Model,Threshold,Precision,Recall,F1,mAP50,mAP50-95
YOLOv8n Baseline,0.05,0.8996,0.89,0.8948,0.8932,0.6624
YOLOv8n Baseline,0.1,0.9,0.8918,0.8959,0.8899,0.6607
YOLOv8n Baseline,0.15,0.9,0.8918,0.8959,0.8797,0.655
YOLOv8n Baseline,0.2,0.9,0.8918,0.8959,0.8747,0.6534
YOLOv8n Baseline,0.25,0.9001,0.8928,0.8964,0.8737,0.6528
YOLOv8n Baseline,0.3,0.9001,0.8928,0.8964,0.8719,0.6516
YOLOv8n Baseline,0.35,0.899,0.895,0.897,0.8703,0.6505
YOLOv8n Baseline,0.4,0.8974,0.8955,0.8965,0.8655,0.6478
YOLOv8n Baseline,0.45,0.9022,0.8937,0.8979,0.8633,0.6468
YOLOv8n Baseline,0.5,0.9159,0.8709,0.8929,0.8495,0.6404
YOLOv8n Baseline,0.55,0.9194,0.8686,0.8933,0.8418,0.6367
YOLOv8n Baseline,0.6,0.9277,0.851,0.8877,0.8256,0.6278
YOLOv8n Baseline,0.65,0.9359,0.8335,0.8817,0.809,0.6185
YOLOv8n Baseline,0.7,0.9389,0.8016,0.8648,0.7808,0.5999
YOLOv8n Baseline,0.75,0.9518,0.7541,0.8415,0.7356,0.5755
YOLOv8n Baseline,0.8,0.9532,0.7153,0.8173,0.7001,0.5543
YOLOv8n Baseline,0.85,0.9532,0.5578,0.7038,0.546,0.4496
YOLOv8n Baseline,0.9,0.9438,0.317,0.4745,0.3122,0.2681
YOLOv8n Baseline,0.95,0.6864,0.0693,0.1258,0.069,0.0605
YOLO-DarkWater v1.0,0.05,0.9041,0.8652,0.8842,0.8859,0.6461
YOLO-DarkWater v1.0,0.1,0.9041,0.8652,0.8842,0.8797,0.6434
YOLO-DarkWater v1.0,0.15,0.9041,0.8652,0.8842,0.8713,0.6386
YOLO-DarkWater v1.0,0.2,0.9041,0.8652,0.8842,0.8607,0.633
YOLO-DarkWater v1.0,0.25,0.9041,0.8652,0.8842,0.8598,0.632
YOLO-DarkWater v1.0,0.3,0.9041,0.8652,0.8842,0.8578,0.631
YOLO-DarkWater v1.0,0.35,0.9058,0.8621,0.8834,0.847,0.6246
YOLO-DarkWater v1.0,0.4,0.9081,0.8622,0.8845,0.8387,0.6196
YOLO-DarkWater v1.0,0.45,0.9086,0.862,0.8847,0.8349,0.6167
YOLO-DarkWater v1.0,0.5,0.9161,0.848,0.8807,0.822,0.6114
YOLO-DarkWater v1.0,0.55,0.926,0.8299,0.8753,0.8057,0.6036
YOLO-DarkWater v1.0,0.6,0.9358,0.8175,0.8726,0.7942,0.5969
YOLO-DarkWater v1.0,0.65,0.9441,0.7932,0.8621,0.7709,0.5851
YOLO-DarkWater v1.0,0.7,0.9521,0.7518,0.8402,0.7322,0.5609
YOLO-DarkWater v1.0,0.75,0.9587,0.6964,0.8067,0.6801,0.5312
YOLO-DarkWater v1.0,0.8,0.958,0.6305,0.7605,0.6164,0.4922
YOLO-DarkWater v1.0,0.85,0.9562,0.5217,0.6751,0.5098,0.419
YOLO-DarkWater v1.0,0.9,0.9753,0.3062,0.4661,0.3012,0.2549
YOLO-DarkWater v1.0,0.95,0.8094,0.0878,0.1584,0.0867,0.0797
