epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.992,1.60099,2.8474,1.62499,0.34281,0.14874,0.07298,0.03321,1.89502,4.70689,2.00767,0.00333026,0.00333026,0.0700276
2,269.126,1.55836,2.58496,1.61131,0.3875,0.18723,0.12688,0.07491,1.69841,3.28848,1.92075,0.00661962,0.00661962,0.0399836
3,405.155,1.453,2.36783,1.53377,0.4589,0.32471,0.25616,0.15201,1.38038,2.1388,1.45151,0.00986497,0.00986497,0.00989566
4,539.819,1.38093,2.19645,1.47644,0.47934,0.32907,0.33336,0.20114,1.3037,1.95994,1.42327,0.009802,0.009802,0.009802
5,674.23,1.31267,2.02208,1.43757,0.50623,0.36689,0.36474,0.22889,1.2235,1.82715,1.35331,0.009736,0.009736,0.009736
6,808.961,1.26277,1.87047,1.39874,0.51886,0.34121,0.37292,0.23684,1.29078,1.88526,1.43737,0.00967,0.00967,0.00967
7,949.017,1.23067,1.77928,1.37398,0.56583,0.44401,0.49526,0.32384,1.12724,1.53235,1.27505,0.009604,0.009604,0.009604
8,1091.89,1.1968,1.66569,1.35241,0.62408,0.48634,0.54753,0.36342,1.09617,1.39077,1.2563,0.009538,0.009538,0.009538
9,1234.57,1.1795,1.59602,1.33749,0.64237,0.55311,0.593,0.39385,1.05811,1.34955,1.23973,0.009472,0.009472,0.009472
10,1377.92,1.14203,1.50098,1.31184,0.65094,0.60589,0.64596,0.43192,1.04633,1.19457,1.22669,0.009406,0.009406,0.009406
11,1520.39,1.12721,1.44656,1.30303,0.68066,0.64185,0.67211,0.44825,1.01319,1.17372,1.20677,0.00934,0.00934,0.00934
12,1663.02,1.1047,1.36534,1.2797,0.74515,0.61217,0.69875,0.47204,1.00675,1.08489,1.1932,0.009274,0.009274,0.009274
13,1820.53,1.08785,1.31762,1.27261,0.79821,0.63925,0.73965,0.50605,0.98902,1.02351,1.17427,0.009208,0.009208,0.009208
14,1976.99,1.07164,1.27283,1.2595,0.7472,0.68586,0.7528,0.51569,0.98228,0.97212,1.16767,0.009142,0.009142,0.009142
