epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,165.856,0.86151,0.74726,1.14347,0.90871,0.884,0.93594,0.71097,0.73804,0.50466,1.00908,0.003383,0.003383,0.003383
51,304.186,0.87097,0.75271,1.14773,0.90711,0.88804,0.93658,0.71111,0.73653,0.50402,1.00775,0.00335,0.00335,0.00335
52,438.297,0.86527,0.74784,1.143,0.90954,0.89063,0.93707,0.71222,0.73417,0.50268,1.00608,0.003317,0.003317,0.003317
53,574.745,0.86581,0.74446,1.1407,0.90862,0.89371,0.93752,0.71227,0.73237,0.50221,1.00528,0.003284,0.003284,0.003284
54,747.821,0.85761,0.745,1.14128,0.9115,0.88995,0.93815,0.71249,0.73073,0.50021,1.00406,0.003251,0.003251,0.003251
55,918.025,0.85735,0.73468,1.13702,0.90828,0.89225,0.93836,0.71346,0.72915,0.49877,1.00296,0.003218,0.003218,0.003218
56,1104.78,0.85028,0.73445,1.13348,0.90791,0.89176,0.93892,0.7146,0.72777,0.49802,1.00192,0.003185,0.003185,0.003185
57,1275.04,0.85225,0.72301,1.1323,0.91009,0.89086,0.94066,0.71555,0.72611,0.49648,1.00065,0.003152,0.003152,0.003152
58,1456.63,0.84668,0.71816,1.12869,0.91338,0.89115,0.94079,0.71694,0.72486,0.4945,0.99977,0.003119,0.003119,0.003119
59,1645.57,0.83911,0.71086,1.12403,0.91236,0.89394,0.94129,0.71802,0.72338,0.49286,0.99861,0.003086,0.003086,0.003086
60,1837.95,0.8403,0.71218,1.12383,0.91428,0.89534,0.94197,0.71852,0.72211,0.49079,0.99782,0.003053,0.003053,0.003053
61,2003.22,0.83718,0.70164,1.11703,0.9145,0.8954,0.94288,0.71884,0.72108,0.48857,0.99698,0.00302,0.00302,0.00302
62,2182.51,0.83309,0.69918,1.11952,0.91247,0.89681,0.94394,0.72026,0.7202,0.48708,0.99618,0.002987,0.002987,0.002987
63,2363.47,0.82807,0.69013,1.1148,0.91747,0.89302,0.94511,0.72135,0.71878,0.48508,0.99512,0.002954,0.002954,0.002954
64,2529.87,0.82946,0.69423,1.11472,0.92009,0.89305,0.94537,0.7222,0.71769,0.48325,0.99415,0.002921,0.002921,0.002921
65,2692.15,0.82029,0.68148,1.10992,0.91909,0.89396,0.94594,0.72307,0.71641,0.48181,0.99316,0.002888,0.002888,0.002888
66,2858.54,0.82509,0.68439,1.11017,0.91865,0.89514,0.94626,0.72505,0.71543,0.48016,0.99226,0.002855,0.002855,0.002855
67,3022.52,0.81942,0.67863,1.10899,0.91792,0.89639,0.9464,0.72529,0.7142,0.47905,0.99133,0.002822,0.002822,0.002822
68,3200.32,0.81427,0.67469,1.10765,0.91879,0.89729,0.94643,0.72553,0.71317,0.47749,0.99054,0.002789,0.002789,0.002789
69,3365.28,0.81126,0.66846,1.10627,0.92168,0.89604,0.94729,0.72629,0.7121,0.47622,0.98968,0.002756,0.002756,0.002756
70,3541.98,0.81232,0.6687,1.10615,0.92282,0.89611,0.94799,0.72722,0.7111,0.47438,0.98889,0.002723,0.002723,0.002723
71,3715.21,0.80222,0.65457,1.10102,0.92353,0.89755,0.94875,0.72729,0.71017,0.47268,0.98797,0.00269,0.00269,0.00269
72,3886.62,0.80185,0.65889,1.09953,0.92444,0.89897,0.94895,0.72821,0.70926,0.47163,0.98722,0.002657,0.002657,0.002657
73,4048.74,0.80445,0.65588,1.10068,0.92685,0.89885,0.94954,0.72847,0.70866,0.47009,0.98661,0.002624,0.002624,0.002624
74,4189.39,0.80132,0.65612,1.09824,0.91736,0.90583,0.95005,0.72926,0.70749,0.46871,0.98581,0.002591,0.002591,0.002591
75,4325.43,0.79476,0.64601,1.09275,0.92343,0.90344,0.95047,0.73089,0.70647,0.46735,0.98486,0.002558,0.002558,0.002558
76,4487.33,0.79186,0.63876,1.09202,0.9212,0.9061,0.95051,0.73182,0.70552,0.46581,0.98413,0.002525,0.002525,0.002525
77,4650.33,0.7856,0.63466,1.0893,0.92268,0.9067,0.95131,0.73223,0.70436,0.46479,0.98331,0.002492,0.002492,0.002492
78,4852.53,0.78812,0.63523,1.09092,0.9263,0.90469,0.95179,0.73263,0.70341,0.46321,0.98249,0.002459,0.002459,0.002459
79,5031.62,0.78488,0.63238,1.08866,0.92468,0.9054,0.95224,0.73304,0.70247,0.46212,0.98166,0.002426,0.002426,0.002426
80,5209.51,0.78123,0.63542,1.0844,0.92735,0.90497,0.95274,0.73357,0.70127,0.46115,0.98078,0.002393,0.002393,0.002393
81,5384.32,0.77661,0.62225,1.0816,0.92797,0.90355,0.95279,0.73421,0.70047,0.45996,0.98005,0.00236,0.00236,0.00236
82,5560.39,0.77692,0.62509,1.08391,0.92739,0.90306,0.9532,0.73568,0.6997,0.45867,0.97925,0.002327,0.002327,0.002327
83,5728.34,0.77497,0.61932,1.08143,0.92683,0.90256,0.95337,0.73614,0.69892,0.45731,0.97861,0.002294,0.002294,0.002294
84,5896.43,0.77102,0.61992,1.07754,0.92734,0.90343,0.95373,0.73648,0.69772,0.45581,0.97772,0.002261,0.002261,0.002261
85,6064.35,0.76658,0.61321,1.07698,0.92631,0.90452,0.95396,0.73777,0.69649,0.45448,0.97681,0.002228,0.002228,0.002228
86,6234.27,0.76886,0.60867,1.07598,0.9267,0.9052,0.95403,0.73842,0.69536,0.45342,0.97588,0.002195,0.002195,0.002195
87,6402.08,0.77159,0.61537,1.07822,0.92786,0.90642,0.95445,0.73844,0.69443,0.45201,0.97514,0.002162,0.002162,0.002162
88,6569.52,0.75927,0.6022,1.06985,0.92775,0.90584,0.95421,0.73866,0.69355,0.45071,0.97423,0.002129,0.002129,0.002129
89,6739.51,0.76059,0.6003,1.07357,0.92649,0.90753,0.95488,0.73939,0.69247,0.4495,0.97339,0.002096,0.002096,0.002096
90,6909.31,0.75608,0.59978,1.07107,0.92734,0.90709,0.95512,0.73984,0.69143,0.44803,0.97259,0.002063,0.002063,0.002063
91,7059.07,0.75843,0.59949,1.07079,0.92581,0.90891,0.95554,0.74003,0.69037,0.44697,0.9718,0.00203,0.00203,0.00203
92,7194.82,0.75642,0.59541,1.06631,0.92359,0.90961,0.95574,0.74109,0.68909,0.44582,0.97076,0.001997,0.001997,0.001997
93,7331.44,0.75196,0.5927,1.06535,0.92248,0.91022,0.95562,0.74158,0.68793,0.44457,0.97001,0.001964,0.001964,0.001964
94,7467.76,0.75234,0.58906,1.06589,0.92336,0.9105,0.95655,0.74266,0.68696,0.44309,0.96918,0.001931,0.001931,0.001931
95,7606.17,0.75435,0.59087,1.06671,0.92345,0.91129,0.95697,0.74327,0.68603,0.44194,0.9684,0.001898,0.001898,0.001898
96,7747.08,0.74749,0.58284,1.0634,0.92526,0.91236,0.95752,0.74381,0.68483,0.44069,0.96753,0.001865,0.001865,0.001865
97,7889.18,0.7512,0.59013,1.06573,0.92359,0.91321,0.95754,0.74536,0.68404,0.43958,0.96683,0.001832,0.001832,0.001832
98,8030.03,0.74899,0.58916,1.06404,0.92359,0.91399,0.95767,0.74572,0.68283,0.43849,0.96598,0.001799,0.001799,0.001799
99,8170.69,0.75128,0.5891,1.06454,0.92421,0.91516,0.95809,0.74557,0.68183,0.43727,0.96515,0.001766,0.001766,0.001766
100,8312.25,0.74686,0.58416,1.06447,0.92427,0.91616,0.95832,0.74645,0.68073,0.43601,0.96443,0.001733,0.001733,0.001733
101,8452.91,0.74644,0.58157,1.06334,0.9216,0.92146,0.95858,0.74726,0.67959,0.43483,0.9637,0.0017,0.0017,0.0017
102,8595.66,0.74466,0.57922,1.0602,0.92481,0.91859,0.95893,0.74776,0.6788,0.4335,0.96305,0.001667,0.001667,0.001667
103,8737.2,0.74383,0.57782,1.06057,0.92417,0.91879,0.95922,0.7488,0.67776,0.43236,0.96233,0.001634,0.001634,0.001634
104,8879.1,0.73828,0.57712,1.05897,0.92483,0.91814,0.95981,0.74915,0.67678,0.43119,0.96157,0.001601,0.001601,0.001601
105,9020.39,0.73518,0.56936,1.05536,0.92579,0.91828,0.96027,0.74957,0.67564,0.42995,0.96082,0.001568,0.001568,0.001568
